Netflix Id,Title,Imdb Rating,Release Year,Netflix Original,Episode Count,Season Count,Maturity,Maturity Level,Maturity Detail,Image,Movie Type,Imdb Id,Last Day To Watch,Genres,Last Fetch
60020686,Shrek,7.9,2001,False,,,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABUo5rp96CNuW41_NLHpZhsBQUzUY0fyOfx5NpujpuFNegrj2McSyr9JcUfPGWrGnLET1u39m34-0sGe7B79uQ1ZB26wPRQYmhzg.webp?r=c17,Movie,tt0126029,2023-03-31,"Animation,Adventure,Comedy",2023-03-15
60034572,Shrek 2,7.3,2004,False,,,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABcNpNOXauEB-7I2tN6qiLmW3Qqc90OOAkGHcl8sFMFUM386s8cXT-55YAuTEQr3tItpXRyH3HKnxO0icoiJqSFDcLOsuhHUi91k.webp?r=55c,Movie,tt0298148,2023-03-31,"Animation,Adventure,Comedy",2023-03-15
70044590,Ultraviolet,4.3,2006,False,,,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABXgWJiw_qjyWdO8_aC0yVX7wo1fJu8CAqG8XFMiIl_GANmOMpse9xZD9BBKQ2t9I6eUG47h75xZE0bsoV2NrWKv2LXvJ2UGzqII.webp?r=584,Movie,tt0370032,,"Action,Sci-Fi",2023-03-15
70087537,The Incredible Hulk,6.6,2008,False,,,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABWpdA9Wd3mvf5q2FagOq_BcgN9DNjm9SBWlP5QhKbaDSic14_VCJ6plqZlvX-2qbiBUgYXhsun06IkaBL6pz1J9Tyn0Lzemk8dM.webp?r=2dc,Movie,tt0800080,,"Action,Adventure,Sci-Fi",2023-03-15
70117295,Shrek Forever After,6.3,2010,False,,,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABTVBEyDHCsDLPR1K2N1ec08k7R8hfJMsmJHe-G_ItO5xJReLSsAkDJ4sHf71wtUMDMatBS_ANDrFbsMG7myRGdm0Bsas7VcKTOE.webp?r=5b5,Movie,tt0892791,2023-04-11,"Animation,Adventure,Comedy",2023-03-15
70142436,Merlin,5.0,2012,False,65.0,5.0,16+,110,substances,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABSxYkavPBO54K1LarOIRiEdrOpdyIah-nSIvgISKPi4bmS9j94qi5jm05YPLyCf2Vp1GiRdQIMzIYyNx3s0_WswJcdMcVIzxYD0.webp?r=f09,TV Series,,,Fantasy,2023-03-15
70155551,Hell's Kitchen,7.3,2021,False,64.0,4.0,18+,1000,language,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABbTaUNcwaItOzchuik4pk0JLnxJ3TjYC3-7_gLqvV5duX-KrkehixPGg2soB0WFbMyHlfoh-CIS8G_UJgsAxXwT01Ytqk5wSU_s.webp?r=27d,TV Series,,,Reality-TV,2023-03-15
70213514,The Dark Knight Rises,8.4,2012,False,,,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABeYXKDCD0La9hr4XdldXpNnqJxfp7p4ayWfns1BWBFxRcfddT0enDL1YJ5sHVpGfVfTozeKlxDINUrENfNWqlVH_whQcaQRaLyI.webp?r=181,Movie,tt1345836,2023-03-31,"Action,Drama",2023-03-15
70281532,The Hobbit: The Desolation of Smaug,7.8,2013,False,,,16+,110,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABQ9HBm62boQXsNrM7qMNQlvsNNE-9DuY8JP-2s9bvqdS3IdWn_zgp-5ER2DsTEa7k_aHvJBg17jdbspNeI1mYzH27dggX1iq0V4.webp?r=e09,Movie,tt1170358,,"Adventure,Fantasy",2023-03-15
70283264,The 100,6.7,2020,False,100.0,7.0,18+,1000,"violence, sex, suicide, self-harm",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABaY6xghT1yTfefGb69cXfbmRsG0Hi3itbOh3IwAahtjvNtrgiOrBKXn8zVmcyqy3kV8Lj_8-OnNMWpRgw6MlvzswuLbHxSblLC4.webp?r=dcd,TV Series,,,"Action,Drama,History,War",2023-03-15
70305930,The Hobbit: The Battle of the Five Armies,7.4,2014,False,,,16+,110,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABQH2Q2mkyuptI8isjd1fIqd435Rn_UnLmXBlGWzSn3mCrmrsXuUP0HoDFq3C1KlCy42j80Lx2hyGSXB3D3tCf-JSGT6aQM4GxR8.webp?r=6ba,Movie,tt2310332,,"Adventure,Fantasy",2023-03-15
80008434,Z Nation,6.9,2018,False,68.0,5.0,18+,1000,violence,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABWKe360sniLjTo7oLyZYV5nU6Kq4L-cgTVSRKPFeSmumDcn-GMZfajHnBV5tpP2LUHANZ9S-W6HlEzJ1TMy0Eq2HVqwDns4HlC4.webp?r=ada,TV Series,,,"Action,Drama,Romance,Thriller",2023-03-15
80018988,The Adventures of Puss in Boots,6.6,2018,False,77.0,6.0,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABbY8WsdRpawKil6_FsGQXqdmCMlwnbUDXdJAqM_oA0fgXAqzBTas7rLrr7nAdSDpDCOSobWfKHDVtcJERh9iWXpC2Pelgvp7bAE.webp?r=943,TV Series,,,"Animation,Action,Adventure,Comedy,Family,Fantasy,Mystery,Western",2023-03-15
80027042,The Flash,5.5,2021,False,151.0,7.0,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABZ8d-o7DSRST-RZOJNyuAYd94GCWA5eD3GjorQM1ABGnZyjUsPkax2NmIJXOQnCSdWgluJSlQ1zOBgHFgmNL8HnG3zXrFmOCRzU.webp?r=615,TV Series,,,Drama,2023-03-15
80027563,The Legend of Korra,7.3,2014,False,52.0,4.0,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABZj_7n4K31rhCs3FwRF-8HF3d-bKbv090c1yQ8TPo5vuMCbIzJTQDEP2nzlP1e27dAtz-1CvC56_6lkaJOf17_QBO3gr2hKYH0E.webp?r=d41,TV Series,,,"Action,Adventure,Fantasy",2023-03-15
80043576,AJIN: Demi-Human,6.4,2016,True,26.0,2.0,16+,110,violence,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABfrSNHC1IZQEo8Tl9CUoOpilz8WN6PnvRiw6MJ1iieuwuYb41GwKOu8GgyLMjmSqzxWAL1ONaFmlLeM0HMuHawZsSnwo8e2FzwTP9YH37vjnEQVKyAd51_GTUTmV0N3sq8Jc.jpg?r=af2,TV Series,,,"Action,Horror,Mystery",
80057281,Stranger Things,0.0,2022,True,34.0,4.0,16+,110,violence,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABWu8-ur7hO8Jc4ta4UisHxtkHi6q8AWpKu51u4pisuSnESDH-vhbNxHyK0jCqoWbEGZtlRLpLfb0Vm18jqfu1LZznE4C2S5G8X_lD6p5cJuNps0vLF6ee29UMbzzFMYTGhERQdNJC4zJCA6TLdDYFAvakaJFRUCV3ypKvN3fkfkTFu-jDfx3EeNhkGcQ5T9Kok6uYjGGU3m5j9nAHDx55GfjeXd8GOoX.jpg?r=ea5,TV Series,tt21222712,,Talk-Show,
80084447,Shadowhunters: The Mortal Instruments,6.5,2019,True,55.0,4.0,16+,110,"violence, substances",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABSeCVT-31SVOYMhmwNPZn3qLkSfxQllO-37cC7pqNFbhssSPUWN-fbe9i9fLM9m15NAY081Qpebrqu4XDLpSY89KWolWMbagRVqf2KXslINTtjBEe2y4PeT6qrYNmJmh-t53.jpg?r=158,TV Series,,,"Action,Drama,Fantasy,Romance",
80104198,Lost in Space,7.3,2021,True,28.0,3.0,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABQGnQ7bsbIhA0J76oRDrWO093s3AmhmeBuoGMbIKyjscFFyx3tz8C8DgbIIZfo7ynLVPI2K5PMiN64CJ5Wqb17hwEu8ZA8eW-t7IYlaYUoTXZKrk26jyDeF-DPgrImOL4NxZ.jpg?r=0b3,TV Series,tt5232792,,"Adventure,Drama,Family",
80114225,Erased,8.5,2016,False,12.0,1.0,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABfeyfwT2nyC-tCWh_3hfvjj5qe25Nl3BGyVxee7mHlWpbfVG9IO4Z0EdfmJPDj4QATMXMUdcyGWOFQYyqGhnTxRHXStUp50EYic.webp?r=0b7,TV Series,,,"Animation,Drama,Fantasy,Mystery,Sci-Fi,Thriller",2023-03-15
80117291,One-Punch Man,8.7,2019,False,24.0,2.0,16+,110,violence,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABa3F0QtR33BsNBAF_1UwVnxR1RtIlcegqaOneOeP6aL3fkDpNAlaDFo4kQ3E3JLtACM3RAd96leglzDU04qI7ZnwqX8BdHVmc5g.webp?r=aed,TV Series,,,"Animation,Action,Comedy,Fantasy,Sci-Fi",2023-03-15
80156387,Little Witch Academia,7.9,2017,True,25.0,2.0,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABdl5CDC3BXWtHSHFqWtwxIuqrZq-XkAKo7qZOQZdge5QE68XpZybB6f0Eo5lWHmFbAsPwxMmZZ7QVBaZgvLqtss7tySKQrf-EgMW2fIXoXB0Vot3K3yMcV3YvaK1F89jMLdn.jpg?r=45b,TV Series,tt6352180,,"Animation,Comedy,Family",
